positionName,workYear,education,city,createTime,companyFullName,positionLables,salary,positionAdvantage
量化平台研发工程师-python,3-5年,不限,广州,2018-08-28 10:23:29,广州伊的家网络科技有限公司,"['PHP', 'Java', '架构师']",15k-25k,"技术大牛多,扁平管理,快速兑现"
高级python开发工程师,3-5年,大专,深圳,2018-08-29 09:05:02,深圳市博奥特科技有限公司,[],15k-25k,"行业前景好,发展空间大,有“钱”景"
Python开发工程师,3-5年,大专,杭州,2018-08-24 10:14:25,武汉佰钧成技术有限责任公司,['Java'],12k-18k,JAVA
Python实习生,不限,本科,北京,2018-08-29 18:28:17,北京神州绿盟信息安全科技股份有限公司,[],2k-4k,"五险一金,周末双休"
高级爬虫工程师/python开发,3-5年,大专,长沙,2018-08-28 09:17:44,湖南本地星网络科技有限公司,"['Hadoop', '数据挖掘', '数据分析']",10k-15k,"优秀团队,技术氛围好"
Python开发工程师,1-3年,本科,东莞,2018-08-27 17:28:13,优维科技（深圳）有限公司,[],13k-15k,"五险一金,带薪年假,年底旅游,腾讯背景"
python开发,3-5年,本科,上海,2018-08-13 17:35:42,上海中软华腾软件系统有限公司,[],10k-18k,"公积金全额,年终奖,平台,大牛"
Python工程师,3-5年,本科,广州,2018-08-30 11:44:05,广州欧科信息技术股份有限公司,"['爬虫架构', '图像处理', 'C++']",14k-18k,"五险一金,班车接送,定期体检,年终奖金"
Python（长春）,3-5年,本科,长春,2018-08-30 10:11:17,宁波新希望信息技术有限公司,"['新零售', 'Ruby', 'MySQL']",10k-15k,"上升空间大,做事靠谱,福利好"
Python,3-5年,大专,成都,2018-08-30 10:09:45,北京通力互联技术服务有限公司,[],9k-18k,"五险一金,项目奖金,妹子多,带薪年假"
python高级后端工程师,5-10年,本科,北京,2018-08-29 14:57:40,北京旷视科技有限公司,[],25k-50k,核心团队
Python高级开发工程师,3-5年,本科,杭州,2018-08-29 10:17:37,杭州沃趣科技股份有限公司,"['服务器端', '平台']",16k-20k,"技术大牛,五险一金,晋升机制,福利多样"
高级Python开发工程师,3-5年,本科,深圳,2018-08-28 09:57:18,深圳开黑科技有限公司,"['信息安全', '服务器端', 'PHP']",16k-30k,"技术大牛多,福利待遇好,电竞风口,团队稳定"
python 工程师,1-3年,本科,厦门,2018-08-27 16:13:39,厦门今立方科技有限公司,"['NLP', '算法', '数据挖掘']",8k-16k,"新科技,成长型,五险一金,节假日福利"
python 工程师,3-5年,本科,深圳,2018-08-30 08:57:56,上海海万信息科技股份有限公司,['Java'],10k-20k,"年终奖,带薪年假,周末双休,五险一金"
高级python工程师,3-5年,本科,北京,2018-08-28 10:11:35,北京字节跳动科技有限公司,[],40k-60k,六险一金，高薪期权，弹性工作，免费三餐，租房补贴，休闲下午茶，扁平管理，团队氛围好，优厚薪资
